[Thu Nov 21 08:14:07.890136 2024] [php:warn] [pid 8440:tid 1968] [client 127.0.0.1:61825] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Thu Nov 21 08:18:26.370162 2024] [php:warn] [pid 8440:tid 1968] [client 127.0.0.1:62432] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Thu Nov 21 09:08:27.415472 2024] [php:warn] [pid 8440:tid 1724] [client 172.16.36.28:62888] PHP Warning:  stream_socket_client(): Unable to connect to tcp://111.70.30.250:50210 (\xe9\x80\xa3\xe7\xb7\x9a\xe5\x98\x97\xe8\xa9\xa6\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe5\xb0\x8d\xe8\xb1\xa1\xe6\x9c\x89\xe4\xb8\x80\xe6\xae\xb5\xe6\x99\x82\xe9\x96\x93\xe4\xb8\xa6\xe6\x9c\xaa\xe6\xad\xa3\xe7\xa2\xba\xe5\x9b\x9e\xe6\x87\x89\xef\xbc\x8c\xe6\x88\x96\xe6\x98\xaf\xe9\x80\xa3\xe7\xb7\x9a\xe5\xbb\xba\xe7\xab\x8b\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe7\x9a\x84\xe4\xb8\xbb\xe6\xa9\x9f\xe7\x84\xa1\xe6\xb3\x95\xe5\x9b\x9e\xe6\x87\x89\xe3\x80\x82) in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\lp-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Nov 21 09:08:27.415472 2024] [php:error] [pid 8440:tid 1724] [client 172.16.36.28:62888] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\lp-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Nov 21 09:08:27.415472 2024] [php:error] [pid 8440:tid 1896] [client 172.16.36.28:62839] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Nov 21 09:11:46.044765 2024] [php:error] [pid 8440:tid 1968] [client 172.16.36.28:63004] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 09:11:46.044765 2024] [php:error] [pid 8440:tid 1716] [client 172.16.36.28:62841] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 14:30:56.605696 2024] [php:error] [pid 8440:tid 1984] [client 172.16.36.181:49483] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-4.php
[Thu Nov 21 14:31:16.926387 2024] [php:error] [pid 8440:tid 1896] [client 172.16.36.181:49489] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 14:31:16.941989 2024] [php:error] [pid 8440:tid 1724] [client 172.16.36.181:49494] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 14:31:58.578959 2024] [php:error] [pid 8440:tid 1968] [client 172.16.36.181:49500] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 14:31:58.592966 2024] [php:error] [pid 8440:tid 1716] [client 172.16.36.181:49501] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-3.php
[Thu Nov 21 14:31:58.592966 2024] [php:error] [pid 8440:tid 1724] [client 172.16.36.181:49519] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Thu Nov 21 14:31:58.592966 2024] [php:error] [pid 8440:tid 1896] [client 172.16.36.181:49518] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
