[Tue Aug 12 15:44:59.389282 2025] [php:error] [pid 8756:tid 1980] [client 172.16.36.181:51699] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Aug 12 15:46:54.333160 2025] [php:error] [pid 8756:tid 1976] [client 172.16.36.181:51856] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Wed Aug 13 04:27:13.525894 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:61992] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 05:27:36.596732 2025] [php:error] [pid 8756:tid 1964] [client 127.0.0.1:57449] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 05:27:36.643607 2025] [php:error] [pid 8756:tid 1992] [client 127.0.0.1:57516] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 05:27:50.679737 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:57552] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 05:28:06.722412 2025] [php:error] [pid 8756:tid 1960] [client 127.0.0.1:57614] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 05:28:28.856941 2025] [php:error] [pid 8756:tid 1972] [client 127.0.0.1:57674] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:07:30.866828 2025] [php:error] [pid 8756:tid 1964] [client 127.0.0.1:65439] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:07:48.253075 2025] [php:error] [pid 8756:tid 1992] [client 127.0.0.1:65532] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:08:12.967192 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:49214] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:27:16.086551 2025] [php:error] [pid 8756:tid 1964] [client 127.0.0.1:52822] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 06:27:37.131382 2025] [php:error] [pid 8756:tid 1992] [client 127.0.0.1:52876] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:27:43.149004 2025] [php:error] [pid 8756:tid 1960] [client 127.0.0.1:52939] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 06:27:58.171898 2025] [php:error] [pid 8756:tid 1988] [client 127.0.0.1:53001] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 06:28:16.223043 2025] [php:error] [pid 8756:tid 1980] [client 127.0.0.1:53078] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 06:47:38.415960 2025] [php:error] [pid 8756:tid 1972] [client 127.0.0.1:56815] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 07:17:08.387892 2025] [php:error] [pid 8756:tid 1960] [client 127.0.0.1:62691] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:17:26.420563 2025] [php:error] [pid 8756:tid 1972] [client 127.0.0.1:62745] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 07:17:44.469722 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:62815] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 07:47:17.583107 2025] [php:error] [pid 8756:tid 1980] [client 127.0.0.1:52102] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:47:17.614910 2025] [php:error] [pid 8756:tid 1972] [client 127.0.0.1:52145] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 07:47:26.645183 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:52196] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:47:53.734161 2025] [php:error] [pid 8756:tid 1988] [client 127.0.0.1:52286] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Aug 13 07:48:20.822817 2025] [php:error] [pid 8756:tid 1964] [client 127.0.0.1:52381] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:48:35.856675 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:52449] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:48:59.901125 2025] [php:error] [pid 8756:tid 1960] [client 127.0.0.1:52515] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:49:17.988607 2025] [php:error] [pid 8756:tid 1980] [client 127.0.0.1:52571] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:57:24.615086 2025] [php:error] [pid 8756:tid 1980] [client 127.0.0.1:53934] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Aug 13 07:57:27.860403 2025] [php:error] [pid 8756:tid 1976] [client 127.0.0.1:54004] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
