[Tue Sep 23 14:03:41.413392 2025] [php:error] [pid 8756:tid 1984] [client 172.16.36.181:57007] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:41.413392 2025] [php:error] [pid 8756:tid 1992] [client 172.16.36.181:57084] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:41.413392 2025] [php:error] [pid 8756:tid 1988] [client 172.16.36.181:57083] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:46.424634 2025] [php:error] [pid 8756:tid 2008] [client 172.16.36.181:57086] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:46.426139 2025] [php:error] [pid 8756:tid 1972] [client 172.16.36.181:57087] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:51.435087 2025] [php:error] [pid 8756:tid 1988] [client 172.16.36.181:57092] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:51.435087 2025] [php:error] [pid 8756:tid 1992] [client 172.16.36.181:57093] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:56.445821 2025] [php:error] [pid 8756:tid 1972] [client 172.16.36.181:57096] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:03:56.448284 2025] [php:error] [pid 8756:tid 2008] [client 172.16.36.181:57097] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 14:05:51.382431 2025] [php:error] [pid 8756:tid 1972] [client 172.16.36.181:59645] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-4.php
[Tue Sep 23 16:59:21.261305 2025] [php:warn] [pid 8756:tid 1964] [client 127.0.0.1:57804] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
