[Mon Oct 27 08:00:04.595688 2025] [php:error] [pid 8432:tid 2004] [client 172.16.36.181:60949] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 08:00:04.674203 2025] [php:error] [pid 8432:tid 1980] [client 172.16.36.181:64098] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 10:14:32.061234 2025] [php:error] [pid 8432:tid 1972] [client 172.16.36.181:65408] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 10:40:15.301371 2025] [php:error] [pid 8432:tid 1972] [client 127.0.0.1:51764] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 46
[Mon Oct 27 10:42:06.523522 2025] [php:error] [pid 8432:tid 1972] [client 172.16.36.181:53525] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 11:11:32.648781 2025] [php:error] [pid 8432:tid 1988] [client 172.16.36.181:63130] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:07:54.346107 2025] [php:error] [pid 8432:tid 1988] [client 172.16.36.181:52405] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:21:58.099134 2025] [php:error] [pid 8432:tid 1984] [client 172.16.36.181:64144] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:27:08.177512 2025] [php:error] [pid 8432:tid 1964] [client 172.16.36.181:49695] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:27:11.324455 2025] [php:error] [pid 8432:tid 1980] [client 172.16.36.181:56225] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:27:15.021657 2025] [php:error] [pid 8432:tid 1972] [client 172.16.36.181:61037] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 12:51:32.612468 2025] [php:error] [pid 8432:tid 1968] [client 172.16.36.181:50783] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 13:08:06.063369 2025] [php:error] [pid 8432:tid 1960] [client 172.16.36.181:50816] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 13:08:08.173026 2025] [php:error] [pid 8432:tid 1980] [client 172.16.36.181:60786] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 13:08:52.496880 2025] [php:error] [pid 8432:tid 1988] [client 172.16.36.181:60830] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 3, referer: http://192.168.60.79/manager-page/home-1.php
[Mon Oct 27 13:08:52.496880 2025] [php:error] [pid 8432:tid 1972] [client 172.16.36.181:59515] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
