[Thu Dec 18 09:23:03.985635 2025] [php:error] [pid 8972:tid 1964] [client 172.16.36.181:59259] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Dec 18 11:41:37.926885 2025] [php:error] [pid 8972:tid 1988] [client 172.16.36.181:59124] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Dec 18 11:42:13.349995 2025] [php:error] [pid 8972:tid 1992] [client 172.16.36.181:58451] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Dec 18 15:23:09.843604 2025] [php:error] [pid 8972:tid 1960] [client 172.16.36.181:52446] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Dec 18 15:36:44.432255 2025] [php:error] [pid 8972:tid 1976] [client 172.16.36.181:57232] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Dec 18 17:18:59.711821 2025] [php:error] [pid 8972:tid 1960] [client 127.0.0.1:60405] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:28:56.810162 2025] [php:error] [pid 8972:tid 1968] [client 127.0.0.1:62264] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:29:26.817826 2025] [php:error] [pid 8972:tid 1988] [client 127.0.0.1:62333] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:29:35.908121 2025] [php:error] [pid 8972:tid 1980] [client 127.0.0.1:62402] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:30:11.921020 2025] [php:error] [pid 8972:tid 1976] [client 127.0.0.1:62468] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:30:20.945712 2025] [php:error] [pid 8972:tid 1960] [client 127.0.0.1:62528] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Thu Dec 18 17:30:42.044810 2025] [php:error] [pid 8972:tid 1968] [client 127.0.0.1:62588] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Thu Dec 18 17:30:57.050611 2025] [php:error] [pid 8972:tid 1980] [client 127.0.0.1:62649] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
