[Tue Jan 13 08:55:08.391447 2026] [php:warn] [pid 8636:tid 1996] [client 172.16.36.181:54009] PHP Warning:  stream_socket_client(): Unable to connect to tcp://111.70.30.250:50210 (\xe9\x80\xa3\xe7\xb7\x9a\xe5\x98\x97\xe8\xa9\xa6\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe5\xb0\x8d\xe8\xb1\xa1\xe6\x9c\x89\xe4\xb8\x80\xe6\xae\xb5\xe6\x99\x82\xe9\x96\x93\xe4\xb8\xa6\xe6\x9c\xaa\xe6\xad\xa3\xe7\xa2\xba\xe5\x9b\x9e\xe6\x87\x89\xef\xbc\x8c\xe6\x88\x96\xe6\x98\xaf\xe9\x80\xa3\xe7\xb7\x9a\xe5\xbb\xba\xe7\xab\x8b\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe7\x9a\x84\xe4\xb8\xbb\xe6\xa9\x9f\xe7\x84\xa1\xe6\xb3\x95\xe5\x9b\x9e\xe6\x87\x89\xe3\x80\x82) in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\cms-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 08:55:08.391447 2026] [php:error] [pid 8636:tid 1996] [client 172.16.36.181:54009] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\cms-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 08:55:08.391447 2026] [php:error] [pid 8636:tid 1980] [client 172.16.36.181:50296] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 08:55:57.018248 2026] [php:warn] [pid 8636:tid 1996] [client 172.16.36.181:55142] PHP Warning:  stream_socket_client(): Unable to connect to tcp://111.70.30.250:50210 (\xe9\x80\xa3\xe7\xb7\x9a\xe5\x98\x97\xe8\xa9\xa6\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe5\xb0\x8d\xe8\xb1\xa1\xe6\x9c\x89\xe4\xb8\x80\xe6\xae\xb5\xe6\x99\x82\xe9\x96\x93\xe4\xb8\xa6\xe6\x9c\xaa\xe6\xad\xa3\xe7\xa2\xba\xe5\x9b\x9e\xe6\x87\x89\xef\xbc\x8c\xe6\x88\x96\xe6\x98\xaf\xe9\x80\xa3\xe7\xb7\x9a\xe5\xbb\xba\xe7\xab\x8b\xe5\xa4\xb1\xe6\x95\x97\xef\xbc\x8c\xe5\x9b\xa0\xe7\x82\xba\xe9\x80\xa3\xe7\xb7\x9a\xe7\x9a\x84\xe4\xb8\xbb\xe6\xa9\x9f\xe7\x84\xa1\xe6\xb3\x95\xe5\x9b\x9e\xe6\x87\x89\xe3\x80\x82) in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\cms-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 08:55:57.018248 2026] [php:error] [pid 8636:tid 1996] [client 172.16.36.181:55142] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\cms-status1.php on line 10, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 08:55:57.018248 2026] [php:error] [pid 8636:tid 1988] [client 172.16.36.181:60424] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 09:25:00.277087 2026] [php:error] [pid 8636:tid 1984] [client 172.16.36.181:58988] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 09:49:00.323011 2026] [php:error] [pid 8636:tid 1996] [client 172.16.36.181:65477] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 09:49:00.323011 2026] [php:error] [pid 8636:tid 1984] [client 172.16.36.181:53620] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 10:42:42.360079 2026] [php:error] [pid 8636:tid 1988] [client 172.16.36.181:62321] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Jan 13 15:13:02.826847 2026] [php:error] [pid 8636:tid 1984] [client 127.0.0.1:60627] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://127.0.0.1/manager-page/home-1.php
[Tue Jan 13 15:43:28.568174 2026] [php:error] [pid 8636:tid 1972] [client 127.0.0.1:50603] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://127.0.0.1/manager-page/home-2.php
[Tue Jan 13 15:43:28.657075 2026] [php:error] [pid 8636:tid 1988] [client 127.0.0.1:50626] PHP Fatal error:  Maximum execution time of 3 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://127.0.0.1/manager-page/home-2.php
[Tue Jan 13 16:16:29.126057 2026] [php:error] [pid 8636:tid 1976] [client 127.0.0.1:56805] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://127.0.0.1/manager-page/home-1.php
[Tue Jan 13 16:16:29.126777 2026] [php:error] [pid 8636:tid 1968] [client 127.0.0.1:58245] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://127.0.0.1/manager-page/home-1.php
